30-Jul-19 03:10:46 - TorcsAgent - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (29,), 'discount_factor': 0.99, 'evaluation_samples': 1, 'snapshot_interval': 150, 'soft_target_update_rate': 0.005, 'start_training': 0, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.001}, 'output_directory': 'model/TorcsAgent/2019-07-30-03-10-43', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (29,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 100, 'memory_size': 120000, 'method': 'buffer', 'action_dim': (3,)}, 'strategy_params': {'epsilon_decay': 8e-06, 'epsilon_decay_per_step': True, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 10, 'mu': [0, 0, -1.2], 'min_epsilon': 0.0001, 'theta': [0.6, 1, 1], 'sigma': [0.3, 0.2, 0.05], 'method': 'ornstein_uhlenbeck', 'action_dim': (3,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 900000, 'agent_name': 'TorcsAgent', 'verbose': True, 'train_interval': 1, 'training_episodes': 3500, 'action_dim': (3,)}
30-Jul-19 03:10:47 - TorcsAgent - INFO - --- Start TwinDelayedDDPG training ---
30-Jul-19 03:16:25 - TorcsAgent - INFO - Episode: 43, Total Reward: 541.213, Avg. Reward Last 100 Episodes: 324.451, Avg. Actor Loss: -76.495 Avg. Critic Loss: 1.052 Avg. Q-Values: 40.913, Time: 8.167, Training Steps: 34, Eps: 0.992
30-Jul-19 03:16:33 - TorcsAgent - INFO - Episode: 44, Total Reward: 450.551, Avg. Reward Last 100 Episodes: 329.377, Avg. Actor Loss: -76.432 Avg. Critic Loss: 0.987 Avg. Q-Values: 43.119, Time: 7.559, Training Steps: 31, Eps: 0.992
30-Jul-19 03:16:43 - TorcsAgent - INFO - Episode: 45, Total Reward: 1029.075, Avg. Reward Last 100 Episodes: 332.070, Avg. Actor Loss: -82.014 Avg. Critic Loss: 0.924 Avg. Q-Values: 46.684, Time: 10.016, Training Steps: 38, Eps: 0.991
30-Jul-19 03:16:53 - TorcsAgent - INFO - Episode: 46, Total Reward: 1219.945, Avg. Reward Last 100 Episodes: 347.222, Avg. Actor Loss: -84.628 Avg. Critic Loss: 0.814 Avg. Q-Values: 48.577, Time: 10.949, Training Steps: 48, Eps: 0.991
30-Jul-19 03:17:00 - TorcsAgent - INFO - Episode: 47, Total Reward: 336.259, Avg. Reward Last 100 Episodes: 365.791, Avg. Actor Loss: -87.950 Avg. Critic Loss: 0.972 Avg. Q-Values: 50.595, Time: 6.741, Training Steps: 27, Eps: 0.991
30-Jul-19 03:17:08 - TorcsAgent - INFO - Episode: 48, Total Reward: 438.867, Avg. Reward Last 100 Episodes: 365.176, Avg. Actor Loss: -89.017 Avg. Critic Loss: 0.916 Avg. Q-Values: 53.974, Time: 8.000, Training Steps: 28, Eps: 0.990
30-Jul-19 03:17:18 - TorcsAgent - INFO - Episode: 49, Total Reward: 875.029, Avg. Reward Last 100 Episodes: 366.679, Avg. Actor Loss: -90.985 Avg. Critic Loss: 0.932 Avg. Q-Values: 54.947, Time: 9.766, Training Steps: 42, Eps: 0.990
30-Jul-19 03:17:24 - TorcsAgent - INFO - Episode: 50, Total Reward: 242.958, Avg. Reward Last 100 Episodes: 376.846, Avg. Actor Loss: -93.335 Avg. Critic Loss: 0.995 Avg. Q-Values: 58.959, Time: 5.735, Training Steps: 22, Eps: 0.990
30-Jul-19 03:17:30 - TorcsAgent - INFO - Episode: 51, Total Reward: -101.734, Avg. Reward Last 100 Episodes: 374.221, Avg. Actor Loss: -93.448 Avg. Critic Loss: 0.763 Avg. Q-Values: 58.373, Time: 6.381, Training Steps: 20, Eps: 0.990
30-Jul-19 03:17:37 - TorcsAgent - INFO - Episode: 52, Total Reward: 331.722, Avg. Reward Last 100 Episodes: 365.068, Avg. Actor Loss: -100.973 Avg. Critic Loss: 1.011 Avg. Q-Values: 60.257, Time: 7.350, Training Steps: 30, Eps: 0.990
30-Jul-19 03:17:44 - TorcsAgent - INFO - Episode: 53, Total Reward: 311.571, Avg. Reward Last 100 Episodes: 364.439, Avg. Actor Loss: -104.814 Avg. Critic Loss: 0.903 Avg. Q-Values: 64.175, Time: 6.743, Training Steps: 27, Eps: 0.989
30-Jul-19 03:17:51 - TorcsAgent - INFO - Episode: 54, Total Reward: 33.016, Avg. Reward Last 100 Episodes: 363.460, Avg. Actor Loss: -101.703 Avg. Critic Loss: 1.088 Avg. Q-Values: 62.836, Time: 6.782, Training Steps: 22, Eps: 0.989
30-Jul-19 03:17:59 - TorcsAgent - INFO - Episode: 55, Total Reward: 590.414, Avg. Reward Last 100 Episodes: 357.452, Avg. Actor Loss: -101.125 Avg. Critic Loss: 1.052 Avg. Q-Values: 62.048, Time: 7.543, Training Steps: 31, Eps: 0.989
30-Jul-19 03:18:05 - TorcsAgent - INFO - Episode: 56, Total Reward: 360.538, Avg. Reward Last 100 Episodes: 361.612, Avg. Actor Loss: -114.986 Avg. Critic Loss: 1.057 Avg. Q-Values: 67.901, Time: 6.550, Training Steps: 26, Eps: 0.989
30-Jul-19 03:18:13 - TorcsAgent - INFO - Episode: 57, Total Reward: 399.375, Avg. Reward Last 100 Episodes: 361.593, Avg. Actor Loss: -109.020 Avg. Critic Loss: 0.946 Avg. Q-Values: 67.997, Time: 7.582, Training Steps: 26, Eps: 0.988
30-Jul-19 03:18:27 - TorcsAgent - INFO - Episode: 58, Total Reward: 2163.397, Avg. Reward Last 100 Episodes: 362.245, Avg. Actor Loss: -114.957 Avg. Critic Loss: 1.093 Avg. Q-Values: 71.631, Time: 14.358, Training Steps: 65, Eps: 0.988
30-Jul-19 03:18:34 - TorcsAgent - INFO - Episode: 59, Total Reward: 180.296, Avg. Reward Last 100 Episodes: 392.773, Avg. Actor Loss: -122.984 Avg. Critic Loss: 1.268 Avg. Q-Values: 76.836, Time: 6.741, Training Steps: 27, Eps: 0.988
30-Jul-19 03:18:41 - TorcsAgent - INFO - Episode: 60, Total Reward: 319.018, Avg. Reward Last 100 Episodes: 389.231, Avg. Actor Loss: -123.198 Avg. Critic Loss: 1.472 Avg. Q-Values: 78.337, Time: 7.182, Training Steps: 24, Eps: 0.988
30-Jul-19 03:18:48 - TorcsAgent - INFO - Episode: 61, Total Reward: 404.385, Avg. Reward Last 100 Episodes: 388.080, Avg. Actor Loss: -126.733 Avg. Critic Loss: 1.551 Avg. Q-Values: 79.598, Time: 7.350, Training Steps: 30, Eps: 0.987
30-Jul-19 03:18:58 - TorcsAgent - INFO - Episode: 62, Total Reward: 1111.609, Avg. Reward Last 100 Episodes: 388.343, Avg. Actor Loss: -129.991 Avg. Critic Loss: 1.297 Avg. Q-Values: 84.307, Time: 10.168, Training Steps: 44, Eps: 0.987
30-Jul-19 03:19:06 - TorcsAgent - INFO - Episode: 63, Total Reward: 142.792, Avg. Reward Last 100 Episodes: 399.824, Avg. Actor Loss: -134.283 Avg. Critic Loss: 1.664 Avg. Q-Values: 85.459, Time: 7.792, Training Steps: 27, Eps: 0.987
