21-Jul-19 03:08:31 - torcs_agent_torcsAgent_actor - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (29,), 'discount_factor': 0.99, 'evaluation_samples': 1, 'snapshot_interval': 150, 'soft_target_update_rate': 0.001, 'start_training': 0, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'output_directory': 'model/torcs_agent_torcsAgent_actor/2019-07-21-03-08-27', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (29,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 32, 'memory_size': 120000, 'method': 'buffer', 'action_dim': (3,)}, 'strategy_params': {'epsilon_decay': 8e-06, 'epsilon_decay_per_step': True, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 10, 'mu': [0, 0, -1.2], 'min_epsilon': 0.0001, 'theta': [0.6, 1, 1], 'sigma': [0.3, 0.2, 0.05], 'method': 'ornstein_uhlenbeck', 'action_dim': (3,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 900000, 'agent_name': 'torcs_agent_torcsAgent_actor', 'verbose': True, 'train_interval': 1, 'training_episodes': 3500, 'action_dim': (3,)}
21-Jul-19 03:13:47 - torcs_agent_torcsAgent_actor - INFO - Episode: 41, Total Reward: 147.044, Avg. Reward Last 100 Episodes: 354.936, Avg. Actor Loss: -1.061 Avg. Critic Loss: 89.560 Avg. Q-Values: 17.722, Time: 5.733, Training Steps: 22, Eps: 0.992
21-Jul-19 03:13:58 - torcs_agent_torcsAgent_actor - INFO - Episode: 42, Total Reward: 1192.436, Avg. Reward Last 100 Episodes: 349.986, Avg. Actor Loss: -1.132 Avg. Critic Loss: 98.343 Avg. Q-Values: 18.263, Time: 11.019, Training Steps: 43, Eps: 0.992
21-Jul-19 03:14:06 - torcs_agent_torcsAgent_actor - INFO - Episode: 43, Total Reward: 859.151, Avg. Reward Last 100 Episodes: 369.578, Avg. Actor Loss: -1.195 Avg. Critic Loss: 96.601 Avg. Q-Values: 20.353, Time: 8.365, Training Steps: 35, Eps: 0.992
21-Jul-19 03:14:15 - torcs_agent_torcsAgent_actor - INFO - Episode: 44, Total Reward: 589.956, Avg. Reward Last 100 Episodes: 380.705, Avg. Actor Loss: -1.224 Avg. Critic Loss: 83.530 Avg. Q-Values: 19.745, Time: 8.966, Training Steps: 38, Eps: 0.991
21-Jul-19 03:14:23 - torcs_agent_torcsAgent_actor - INFO - Episode: 45, Total Reward: 225.818, Avg. Reward Last 100 Episodes: 385.355, Avg. Actor Loss: -1.317 Avg. Critic Loss: 59.018 Avg. Q-Values: 24.422, Time: 7.183, Training Steps: 24, Eps: 0.991
21-Jul-19 03:14:35 - torcs_agent_torcsAgent_actor - INFO - Episode: 46, Total Reward: 1281.525, Avg. Reward Last 100 Episodes: 381.887, Avg. Actor Loss: -1.194 Avg. Critic Loss: 130.897 Avg. Q-Values: 21.609, Time: 11.966, Training Steps: 53, Eps: 0.991
21-Jul-19 03:14:42 - torcs_agent_torcsAgent_actor - INFO - Episode: 47, Total Reward: 456.989, Avg. Reward Last 100 Episodes: 401.028, Avg. Actor Loss: -1.286 Avg. Critic Loss: 100.690 Avg. Q-Values: 23.019, Time: 7.135, Training Steps: 29, Eps: 0.991
21-Jul-19 03:14:52 - torcs_agent_torcsAgent_actor - INFO - Episode: 48, Total Reward: 828.382, Avg. Reward Last 100 Episodes: 402.194, Avg. Actor Loss: -1.409 Avg. Critic Loss: 80.230 Avg. Q-Values: 26.576, Time: 9.817, Training Steps: 37, Eps: 0.990
21-Jul-19 03:14:57 - torcs_agent_torcsAgent_actor - INFO - Episode: 49, Total Reward: -87.239, Avg. Reward Last 100 Episodes: 410.891, Avg. Actor Loss: -1.455 Avg. Critic Loss: 83.120 Avg. Q-Values: 29.169, Time: 5.532, Training Steps: 21, Eps: 0.990
21-Jul-19 03:15:05 - torcs_agent_torcsAgent_actor - INFO - Episode: 50, Total Reward: 185.757, Avg. Reward Last 100 Episodes: 400.929, Avg. Actor Loss: -1.367 Avg. Critic Loss: 95.089 Avg. Q-Values: 26.192, Time: 7.751, Training Steps: 32, Eps: 0.990
21-Jul-19 03:15:12 - torcs_agent_torcsAgent_actor - INFO - Episode: 51, Total Reward: -41.987, Avg. Reward Last 100 Episodes: 396.710, Avg. Actor Loss: -1.520 Avg. Critic Loss: 63.722 Avg. Q-Values: 29.077, Time: 7.183, Training Steps: 24, Eps: 0.990
21-Jul-19 03:15:21 - torcs_agent_torcsAgent_actor - INFO - Episode: 52, Total Reward: 368.499, Avg. Reward Last 100 Episodes: 388.273, Avg. Actor Loss: -1.408 Avg. Critic Loss: 130.129 Avg. Q-Values: 26.979, Time: 8.766, Training Steps: 37, Eps: 0.989
21-Jul-19 03:15:27 - torcs_agent_torcsAgent_actor - INFO - Episode: 53, Total Reward: -50.992, Avg. Reward Last 100 Episodes: 387.900, Avg. Actor Loss: -1.321 Avg. Critic Loss: 122.893 Avg. Q-Values: 27.155, Time: 6.118, Training Steps: 24, Eps: 0.989
21-Jul-19 03:15:38 - torcs_agent_torcsAgent_actor - INFO - Episode: 54, Total Reward: 954.579, Avg. Reward Last 100 Episodes: 379.773, Avg. Actor Loss: -1.399 Avg. Critic Loss: 124.351 Avg. Q-Values: 28.234, Time: 11.016, Training Steps: 43, Eps: 0.989
21-Jul-19 03:15:47 - torcs_agent_torcsAgent_actor - INFO - Episode: 55, Total Reward: 1114.395, Avg. Reward Last 100 Episodes: 390.224, Avg. Actor Loss: -1.350 Avg. Critic Loss: 120.463 Avg. Q-Values: 29.566, Time: 9.167, Training Steps: 39, Eps: 0.989
21-Jul-19 03:15:54 - torcs_agent_torcsAgent_actor - INFO - Episode: 56, Total Reward: 289.211, Avg. Reward Last 100 Episodes: 403.155, Avg. Actor Loss: -1.318 Avg. Critic Loss: 81.955 Avg. Q-Values: 30.184, Time: 7.149, Training Steps: 29, Eps: 0.988
21-Jul-19 03:16:04 - torcs_agent_torcsAgent_actor - INFO - Episode: 57, Total Reward: 861.207, Avg. Reward Last 100 Episodes: 401.156, Avg. Actor Loss: -1.316 Avg. Critic Loss: 107.938 Avg. Q-Values: 27.353, Time: 9.419, Training Steps: 35, Eps: 0.988
21-Jul-19 03:16:10 - torcs_agent_torcsAgent_actor - INFO - Episode: 58, Total Reward: 12.008, Avg. Reward Last 100 Episodes: 409.088, Avg. Actor Loss: -1.389 Avg. Critic Loss: 85.217 Avg. Q-Values: 29.439, Time: 6.548, Training Steps: 26, Eps: 0.988
21-Jul-19 03:16:17 - torcs_agent_torcsAgent_actor - INFO - Episode: 59, Total Reward: 56.277, Avg. Reward Last 100 Episodes: 402.358, Avg. Actor Loss: -1.261 Avg. Critic Loss: 95.108 Avg. Q-Values: 28.332, Time: 6.952, Training Steps: 28, Eps: 0.988
21-Jul-19 03:16:27 - torcs_agent_torcsAgent_actor - INFO - Episode: 60, Total Reward: 495.726, Avg. Reward Last 100 Episodes: 396.590, Avg. Actor Loss: -1.370 Avg. Critic Loss: 97.273 Avg. Q-Values: 31.124, Time: 10.015, Training Steps: 38, Eps: 0.987
21-Jul-19 03:16:34 - torcs_agent_torcsAgent_actor - INFO - Episode: 61, Total Reward: 383.173, Avg. Reward Last 100 Episodes: 398.215, Avg. Actor Loss: -1.530 Avg. Critic Loss: 93.532 Avg. Q-Values: 33.482, Time: 6.750, Training Steps: 27, Eps: 0.987
21-Jul-19 03:16:40 - torcs_agent_torcsAgent_actor - INFO - Episode: 62, Total Reward: 361.188, Avg. Reward Last 100 Episodes: 397.972, Avg. Actor Loss: -1.575 Avg. Critic Loss: 102.374 Avg. Q-Values: 34.736, Time: 6.334, Training Steps: 25, Eps: 0.987
21-Jul-19 03:16:48 - torcs_agent_torcsAgent_actor - INFO - Episode: 63, Total Reward: 207.146, Avg. Reward Last 100 Episodes: 397.389, Avg. Actor Loss: -1.439 Avg. Critic Loss: 123.654 Avg. Q-Values: 32.210, Time: 7.799, Training Steps: 27, Eps: 0.987
21-Jul-19 03:16:54 - torcs_agent_torcsAgent_actor - INFO - Episode: 64, Total Reward: 274.395, Avg. Reward Last 100 Episodes: 394.416, Avg. Actor Loss: -1.483 Avg. Critic Loss: 94.511 Avg. Q-Values: 34.541, Time: 6.117, Training Steps: 24, Eps: 0.987
21-Jul-19 03:17:04 - torcs_agent_torcsAgent_actor - INFO - Episode: 65, Total Reward: 1197.655, Avg. Reward Last 100 Episodes: 392.570, Avg. Actor Loss: -1.517 Avg. Critic Loss: 112.461 Avg. Q-Values: 33.473, Time: 9.768, Training Steps: 42, Eps: 0.986
21-Jul-19 03:17:11 - torcs_agent_torcsAgent_actor - INFO - Episode: 66, Total Reward: 19.338, Avg. Reward Last 100 Episodes: 404.768, Avg. Actor Loss: -1.649 Avg. Critic Loss: 89.577 Avg. Q-Values: 35.123, Time: 7.385, Training Steps: 25, Eps: 0.986
21-Jul-19 03:17:17 - torcs_agent_torcsAgent_actor - INFO - Episode: 67, Total Reward: 251.534, Avg. Reward Last 100 Episodes: 399.015, Avg. Actor Loss: -1.646 Avg. Critic Loss: 103.843 Avg. Q-Values: 36.392, Time: 6.132, Training Steps: 24, Eps: 0.986
21-Jul-19 03:17:26 - torcs_agent_torcsAgent_actor - INFO - Episode: 68, Total Reward: 935.986, Avg. Reward Last 100 Episodes: 396.846, Avg. Actor Loss: -1.577 Avg. Critic Loss: 99.875 Avg. Q-Values: 35.978, Time: 8.367, Training Steps: 35, Eps: 0.986
21-Jul-19 03:17:33 - torcs_agent_torcsAgent_actor - INFO - Episode: 69, Total Reward: 213.701, Avg. Reward Last 100 Episodes: 404.660, Avg. Actor Loss: -1.689 Avg. Critic Loss: 97.540 Avg. Q-Values: 37.581, Time: 6.782, Training Steps: 22, Eps: 0.985
21-Jul-19 03:17:41 - torcs_agent_torcsAgent_actor - INFO - Episode: 70, Total Reward: 756.549, Avg. Reward Last 100 Episodes: 401.932, Avg. Actor Loss: -1.624 Avg. Critic Loss: 122.536 Avg. Q-Values: 35.221, Time: 8.151, Training Steps: 34, Eps: 0.985
21-Jul-19 03:17:48 - torcs_agent_torcsAgent_actor - INFO - Episode: 71, Total Reward: 164.017, Avg. Reward Last 100 Episodes: 406.927, Avg. Actor Loss: -1.630 Avg. Critic Loss: 99.751 Avg. Q-Values: 40.063, Time: 7.549, Training Steps: 31, Eps: 0.985
21-Jul-19 03:17:56 - torcs_agent_torcsAgent_actor - INFO - Episode: 72, Total Reward: 426.619, Avg. Reward Last 100 Episodes: 403.553, Avg. Actor Loss: -1.773 Avg. Critic Loss: 93.788 Avg. Q-Values: 42.695, Time: 8.201, Training Steps: 29, Eps: 0.985
21-Jul-19 03:18:07 - torcs_agent_torcsAgent_actor - INFO - Episode: 73, Total Reward: 1447.174, Avg. Reward Last 100 Episodes: 403.869, Avg. Actor Loss: -1.634 Avg. Critic Loss: 91.688 Avg. Q-Values: 37.424, Time: 10.368, Training Steps: 45, Eps: 0.984
21-Jul-19 03:18:15 - torcs_agent_torcsAgent_actor - INFO - Episode: 74, Total Reward: 521.845, Avg. Reward Last 100 Episodes: 417.968, Avg. Actor Loss: -1.633 Avg. Critic Loss: 115.815 Avg. Q-Values: 39.477, Time: 8.365, Training Steps: 35, Eps: 0.984
