02-Aug-19 20:36:43 - CheetahAgent - INFO - Agent created with following parameters: {'target_score': None, 'soft_target_update_rate': 0.001, 'replay_memory_params': {'rewards_dtype': 'float32', 'state_dtype': 'float32', 'state_dim': (26,), 'action_dtype': 'float32', 'method': 'buffer', 'memory_size': 1000000, 'sample_size': 64, 'action_dim': (6,)}, 'output_directory': 'model/CheetahAgent/2019-08-02-20-36-41', 'critic_optimizer_params': {'learning_rate': 0.001}, 'state_dim': (26,), 'discount_factor': 0.99, 'ctx': 'gpu(0)', 'evaluation_samples': 100, 'critic_optimizer': 'adam', 'verbose': True, 'start_training': 1, 'actor_optimizer_params': {'learning_rate': 0.0001}, 'actor_optimizer': 'adam', 'training_episodes': 2500, 'agent_name': 'CheetahAgent', 'train_interval': 1, 'strategy_params': {'sigma': [0.2, 0.2, 0.2, 0.2, 0.2, 0.2], 'action_high': 1, 'min_epsilon': 0.05, 'action_dim': (6,), 'epsilon': 1, 'action_low': -1, 'epsilon_decay': 0.00067, 'epsilon_decay_method': 'linear', 'mu': [0, 0, 0, 0, 0, 0], 'epsilon_decay_start': 200, 'theta': [0.15, 0.15, 0.15, 0.15, 0.15, 0.15], 'method': 'ornstein_uhlenbeck'}, 'action_dim': (6,), 'snapshot_interval': 250, 'max_episode_step': 10000}
02-Aug-19 20:36:43 - CheetahAgent - INFO - --- Start DDPG training ---
02-Aug-19 20:36:50 - CheetahAgent - INFO - Episode: 37, Total Reward: 13.642, Avg. Reward Last 100 Episodes: 4.532, Avg. Actor Loss: -0.013 Avg. Critic Loss: 0.020 Avg. Q-Values: 0.322, Time: 0.178, Training Steps: 19, Eps: 1.000
02-Aug-19 20:36:50 - CheetahAgent - INFO - Episode: 38, Total Reward: 6.387, Avg. Reward Last 100 Episodes: 4.772, Avg. Actor Loss: -0.013 Avg. Critic Loss: 0.018 Avg. Q-Values: 0.331, Time: 0.192, Training Steps: 19, Eps: 1.000
02-Aug-19 20:36:50 - CheetahAgent - INFO - Episode: 39, Total Reward: 7.483, Avg. Reward Last 100 Episodes: 4.813, Avg. Actor Loss: -0.013 Avg. Critic Loss: 0.020 Avg. Q-Values: 0.359, Time: 0.158, Training Steps: 17, Eps: 1.000
02-Aug-19 20:36:51 - CheetahAgent - INFO - Episode: 40, Total Reward: 5.097, Avg. Reward Last 100 Episodes: 4.880, Avg. Actor Loss: -0.013 Avg. Critic Loss: 0.018 Avg. Q-Values: 0.342, Time: 0.141, Training Steps: 16, Eps: 1.000
02-Aug-19 20:36:51 - CheetahAgent - INFO - Episode: 41, Total Reward: 2.196, Avg. Reward Last 100 Episodes: 4.885, Avg. Actor Loss: -0.013 Avg. Critic Loss: 0.023 Avg. Q-Values: 0.384, Time: 0.147, Training Steps: 16, Eps: 1.000
02-Aug-19 20:36:51 - CheetahAgent - INFO - Episode: 42, Total Reward: 3.918, Avg. Reward Last 100 Episodes: 4.821, Avg. Actor Loss: -0.013 Avg. Critic Loss: 0.030 Avg. Q-Values: 0.395, Time: 0.133, Training Steps: 15, Eps: 1.000
02-Aug-19 20:36:51 - CheetahAgent - INFO - Episode: 43, Total Reward: 1.967, Avg. Reward Last 100 Episodes: 4.800, Avg. Actor Loss: -0.013 Avg. Critic Loss: 0.027 Avg. Q-Values: 0.378, Time: 0.170, Training Steps: 18, Eps: 1.000
02-Aug-19 20:36:51 - CheetahAgent - INFO - Episode: 44, Total Reward: 8.609, Avg. Reward Last 100 Episodes: 4.736, Avg. Actor Loss: -0.013 Avg. Critic Loss: 0.030 Avg. Q-Values: 0.380, Time: 0.188, Training Steps: 21, Eps: 1.000
02-Aug-19 20:36:51 - CheetahAgent - INFO - Episode: 45, Total Reward: 4.379, Avg. Reward Last 100 Episodes: 4.822, Avg. Actor Loss: -0.014 Avg. Critic Loss: 0.025 Avg. Q-Values: 0.366, Time: 0.150, Training Steps: 16, Eps: 1.000
02-Aug-19 20:36:52 - CheetahAgent - INFO - Episode: 46, Total Reward: 3.487, Avg. Reward Last 100 Episodes: 4.812, Avg. Actor Loss: -0.013 Avg. Critic Loss: 0.027 Avg. Q-Values: 0.397, Time: 0.179, Training Steps: 20, Eps: 1.000
02-Aug-19 20:36:52 - CheetahAgent - INFO - Episode: 47, Total Reward: 4.902, Avg. Reward Last 100 Episodes: 4.784, Avg. Actor Loss: -0.013 Avg. Critic Loss: 0.027 Avg. Q-Values: 0.416, Time: 0.216, Training Steps: 22, Eps: 1.000
02-Aug-19 20:36:52 - CheetahAgent - INFO - Episode: 48, Total Reward: 7.207, Avg. Reward Last 100 Episodes: 4.787, Avg. Actor Loss: -0.013 Avg. Critic Loss: 0.021 Avg. Q-Values: 0.410, Time: 0.371, Training Steps: 43, Eps: 1.000
02-Aug-19 20:36:52 - CheetahAgent - INFO - Episode: 49, Total Reward: -4.412, Avg. Reward Last 100 Episodes: 4.836, Avg. Actor Loss: -0.014 Avg. Critic Loss: 0.022 Avg. Q-Values: 0.443, Time: 0.193, Training Steps: 22, Eps: 1.000
02-Aug-19 20:36:52 - CheetahAgent - INFO - Episode: 50, Total Reward: 6.403, Avg. Reward Last 100 Episodes: 4.651, Avg. Actor Loss: -0.013 Avg. Critic Loss: 0.023 Avg. Q-Values: 0.419, Time: 0.149, Training Steps: 17, Eps: 1.000
02-Aug-19 20:36:53 - CheetahAgent - INFO - Episode: 51, Total Reward: 7.206, Avg. Reward Last 100 Episodes: 4.685, Avg. Actor Loss: -0.013 Avg. Critic Loss: 0.025 Avg. Q-Values: 0.420, Time: 0.214, Training Steps: 22, Eps: 1.000
02-Aug-19 20:36:53 - CheetahAgent - INFO - Episode: 52, Total Reward: 11.759, Avg. Reward Last 100 Episodes: 4.734, Avg. Actor Loss: -0.014 Avg. Critic Loss: 0.022 Avg. Q-Values: 0.463, Time: 0.208, Training Steps: 23, Eps: 1.000
