Episode,CollisionType,VehicleName,CollisionObjectName,TimeStamp,Duration
27,static,"Car_3","(OSM id: 645787904)",24.31,0.06
27,static,"Car_1","(OSM id: 645788061)",25.81,0.02
27,static,"Car_1","(OSM id: 645787830)",27.21,0.05
27,static,"Car_1","(OSM id: 645787506)",29.11,0.07
29,static,"Car_0","Valero(OSM id: 470346857)",11.01,0.03
29,static,"Car_1","Valero(OSM id: 470346810)",11.81,0.2
29,static,"Car_0","(OSM id: 470346805)",13.91,0.11
29,static,"Car_1","(OSM id: 470346805)",14.11,0.1
29,static,"Car_1","(OSM id: 470346818)",16.01,0.27
29,static,"Car_0","(OSM id: 470346818)",16.71,0.23
29,vehicle,"Car_0","Car_1",20.41,0.27
29,vehicle,"Car_1","Car_0",20.41,0.27
29,static,"Car_1","(OSM id: 470346684)",21.41,0.2
29,static,"Car_0","(OSM id: 470346684)",21.51,0.21
29,static,"Car_1","(OSM id: 470346640)",23.61,0.08
29,static,"Car_0","(OSM id: 470346640)",23.71,0.08
29,static,"Car_0","(OSM id: 470346541)",24.61,0.22
29,static,"Car_1","(OSM id: 470346541)",24.91,0.19
29,static,"Car_1","(OSM id: 470346497)",26.91,0.05
29,static,"Car_0","(OSM id: 470346489)",28.41,0.04
29,static,"Car_0","(OSM id: 470346484)",28.91,0.03
29,static,"Car_2","(OSM id: 470346725)",28.51,0.1
30,vehicle,"Car_0","Car_2",5.51,0.13
30,vehicle,"Car_2","Car_0",5.51,0.13
30,static,"Car_2","The Home Depot(OSM id: 258040849)",7.81,0.22
30,static,"Car_1","The Home Depot(OSM id: 258040849)",12.51,0.29
30,static,"Car_2","The Home Depot(OSM id: 258040849)",11.31,0.46
30,static,"Car_1","The Home Depot(OSM id: 258040849)",18.11,0.22
30,static,"Car_3","(OSM id: 470347206)",27.31,0.11
31,vehicle,"Car_0","Car_3",4.71,0.14
31,vehicle,"Car_3","Car_0",4.71,0.14
31,vehicle,"Car_2","Car_3",6.41,0.01
31,vehicle,"Car_3","Car_2",6.41,0.01
31,vehicle,"Car_0","Car_2",7.31,0.0
31,vehicle,"Car_2","Car_0",7.31,0.0
32,vehicle,"Car_1","Car_4",7.91,0.04
32,vehicle,"Car_4","Car_1",7.91,0.04
32,vehicle,"Car_3","Car_4",11.11,0.03
32,vehicle,"Car_4","Car_3",11.11,0.03
32,vehicle,"Car_1","Car_2",17.21,0.0
32,vehicle,"Car_2","Car_1",17.21,0.0
32,vehicle,"Car_0","Car_3",18.31,0.01
32,vehicle,"Car_3","Car_0",18.31,0.01
33,static,"Car_1","Edith O'Donnell Arts and Technology Building(OSM id: 243352628)",18.11,0.01
33,static,"Car_1","Davidson-Gundy Alumni Center(OSM id: 543192327)",19.11,0.08
34,vehicle,"Car_1","Car_2",9.91,0.3
34,vehicle,"Car_2","Car_1",9.91,0.3
34,static,"Car_3","Northside Plus Building 11(OSM id: 827800362)",26.11,0.04
35,vehicle,"Car_0","Car_1",5.81,0.01
35,vehicle,"Car_1","Car_0",5.81,0.01
35,static,"Car_2","(OSM id: 543572366)",9.31,0.18
35,static,"Car_2","(OSM id: 543572367)",13.41,0.15
35,static,"Car_2","Dallas International School(OSM id: 543572581)",15.41,0.22
35,static,"Car_0","(OSM id: 543572367)",27.11,0.06
36,vehicle,"Car_1","Car_2",7.91,0.07
36,vehicle,"Car_2","Car_1",7.91,0.07
36,static,"Car_0","(OSM id: 598179044)",7.21,0.35
36,static,"Car_0","(OSM id: 470347228)",10.81,0.23
36,static,"Car_0","(OSM id: 598179046)",13.91,0.13
36,static,"Car_0","(OSM id: 598179047)",15.31,0.12
36,static,"Car_2","(OSM id: 598179062)",16.21,0.16
36,static,"Car_0","(OSM id: 452514263)",19.11,0.05
36,static,"Car_2","(OSM id: 598179072)",21.31,0.09
36,static,"Car_1","(OSM id: 598179060)",21.81,0.16
36,static,"Car_2","(OSM id: 598179073)",22.41,0.13
36,static,"Car_0","The Home Depot(OSM id: 258040849)",24.31,0.05
36,static,"Car_2","(OSM id: 598179085)",23.81,0.12
36,static,"Car_2","(OSM id: 598179086)",25.21,0.03
36,static,"Car_2","(OSM id: 598179089)",26.61,0.1
37,vehicle,"Car_1","Car_2",3.21,0.01
37,vehicle,"Car_2","Car_1",3.21,0.01
37,vehicle,"Car_2","Car_3",9.11,0.0
37,vehicle,"Car_3","Car_2",9.11,0.0
38,vehicle,"Car_2","Car_3",4.01,0.1
38,vehicle,"Car_3","Car_2",4.01,0.1
38,vehicle,"Car_2","Car_4",5.91,0.03
38,vehicle,"Car_4","Car_2",5.91,0.03
38,vehicle,"Car_2","Car_3",10.61,0.01
38,vehicle,"Car_3","Car_2",10.61,0.01
