02-Aug-19 22:32:28 - LanderQAgent - INFO - --- Start training ---
02-Aug-19 22:32:28 - LanderQAgent - INFO - Target network is updated after 0 steps
02-Aug-19 22:33:55 - LanderQAgent - INFO - Episode: 80, Total Reward: -292.362, Avg. Reward Last 100 Episodes: -172.904, Avg. Loss: 0.421, Time: 1.270, Training Steps: 108, Eps: 1.000
02-Aug-19 22:33:56 - LanderQAgent - INFO - Episode: 81, Total Reward: -409.215, Avg. Reward Last 100 Episodes: -174.378, Avg. Loss: 0.383, Time: 1.463, Training Steps: 126, Eps: 1.000
02-Aug-19 22:33:58 - LanderQAgent - INFO - Episode: 82, Total Reward: -197.810, Avg. Reward Last 100 Episodes: -177.242, Avg. Loss: 0.416, Time: 1.555, Training Steps: 133, Eps: 1.000
02-Aug-19 22:33:59 - LanderQAgent - INFO - Episode: 83, Total Reward: -30.785, Avg. Reward Last 100 Episodes: -177.490, Avg. Loss: 0.401, Time: 1.430, Training Steps: 111, Eps: 1.000
02-Aug-19 22:34:00 - LanderQAgent - INFO - Episode: 84, Total Reward: -129.936, Avg. Reward Last 100 Episodes: -175.744, Avg. Loss: 0.369, Time: 1.273, Training Steps: 91, Eps: 1.000
02-Aug-19 22:34:02 - LanderQAgent - INFO - Episode: 85, Total Reward: -119.684, Avg. Reward Last 100 Episodes: -175.205, Avg. Loss: 0.433, Time: 1.207, Training Steps: 88, Eps: 1.000
02-Aug-19 22:34:02 - LanderQAgent - INFO - Target network is updated after 8000 steps
02-Aug-19 22:34:03 - LanderQAgent - INFO - Episode: 86, Total Reward: -122.597, Avg. Reward Last 100 Episodes: -174.559, Avg. Loss: 0.441, Time: 1.284, Training Steps: 108, Eps: 1.000
02-Aug-19 22:34:04 - LanderQAgent - INFO - Episode: 87, Total Reward: -132.486, Avg. Reward Last 100 Episodes: -173.962, Avg. Loss: 0.469, Time: 1.201, Training Steps: 102, Eps: 1.000
02-Aug-19 22:34:05 - LanderQAgent - INFO - Episode: 88, Total Reward: -190.030, Avg. Reward Last 100 Episodes: -173.491, Avg. Loss: 0.433, Time: 0.900, Training Steps: 76, Eps: 1.000
02-Aug-19 22:34:06 - LanderQAgent - INFO - Episode: 89, Total Reward: -132.638, Avg. Reward Last 100 Episodes: -173.676, Avg. Loss: 0.483, Time: 1.113, Training Steps: 94, Eps: 1.000
02-Aug-19 22:34:07 - LanderQAgent - INFO - Episode: 90, Total Reward: -196.357, Avg. Reward Last 100 Episodes: -173.220, Avg. Loss: 0.442, Time: 1.072, Training Steps: 92, Eps: 1.000
02-Aug-19 22:34:09 - LanderQAgent - INFO - Episode: 91, Total Reward: -117.025, Avg. Reward Last 100 Episodes: -173.475, Avg. Loss: 0.486, Time: 1.471, Training Steps: 125, Eps: 1.000
02-Aug-19 22:34:09 - LanderQAgent - INFO - Episode: 92, Total Reward: -49.365, Avg. Reward Last 100 Episodes: -172.861, Avg. Loss: 0.500, Time: 0.865, Training Steps: 74, Eps: 1.000
02-Aug-19 22:34:11 - LanderQAgent - INFO - Episode: 93, Total Reward: -185.154, Avg. Reward Last 100 Episodes: -171.533, Avg. Loss: 0.428, Time: 1.185, Training Steps: 100, Eps: 1.000
02-Aug-19 22:34:12 - LanderQAgent - INFO - Episode: 94, Total Reward: -151.550, Avg. Reward Last 100 Episodes: -171.678, Avg. Loss: 0.403, Time: 1.582, Training Steps: 127, Eps: 1.000
02-Aug-19 22:34:14 - LanderQAgent - INFO - Episode: 95, Total Reward: -165.589, Avg. Reward Last 100 Episodes: -171.466, Avg. Loss: 0.404, Time: 1.292, Training Steps: 109, Eps: 1.000
02-Aug-19 22:34:14 - LanderQAgent - INFO - Target network is updated after 9000 steps
02-Aug-19 22:34:15 - LanderQAgent - INFO - Episode: 96, Total Reward: -263.456, Avg. Reward Last 100 Episodes: -171.405, Avg. Loss: 0.409, Time: 1.030, Training Steps: 86, Eps: 1.000
02-Aug-19 22:34:16 - LanderQAgent - INFO - Episode: 97, Total Reward: -137.683, Avg. Reward Last 100 Episodes: -172.354, Avg. Loss: 0.447, Time: 1.051, Training Steps: 89, Eps: 1.000
02-Aug-19 22:34:17 - LanderQAgent - INFO - Episode: 98, Total Reward: -116.394, Avg. Reward Last 100 Episodes: -172.000, Avg. Loss: 0.454, Time: 0.989, Training Steps: 83, Eps: 1.000
02-Aug-19 22:34:17 - LanderQAgent - INFO - Episode: 99, Total Reward: -214.663, Avg. Reward Last 100 Episodes: -171.438, Avg. Loss: 0.475, Time: 0.762, Training Steps: 63, Eps: 1.000
02-Aug-19 22:34:19 - LanderQAgent - INFO - Episode: 100, Total Reward: 5.097, Avg. Reward Last 100 Episodes: -171.871, Avg. Loss: 0.467, Time: 1.302, Training Steps: 113, Eps: 1.000
02-Aug-19 22:34:20 - LanderQAgent - INFO - Episode: 101, Total Reward: -389.078, Avg. Reward Last 100 Episodes: -169.397, Avg. Loss: 0.476, Time: 1.498, Training Steps: 129, Eps: 1.000
02-Aug-19 22:34:21 - LanderQAgent - INFO - Episode: 102, Total Reward: -123.526, Avg. Reward Last 100 Episodes: -173.263, Avg. Loss: 0.486, Time: 1.040, Training Steps: 89, Eps: 1.000
02-Aug-19 22:34:22 - LanderQAgent - INFO - Episode: 103, Total Reward: -87.162, Avg. Reward Last 100 Episodes: -171.161, Avg. Loss: 0.402, Time: 0.940, Training Steps: 79, Eps: 1.000
02-Aug-19 22:34:23 - LanderQAgent - INFO - Episode: 104, Total Reward: -289.514, Avg. Reward Last 100 Episodes: -170.969, Avg. Loss: 0.467, Time: 1.132, Training Steps: 97, Eps: 1.000
02-Aug-19 22:34:24 - LanderQAgent - INFO - Episode: 105, Total Reward: -199.241, Avg. Reward Last 100 Episodes: -172.902, Avg. Loss: 0.470, Time: 1.029, Training Steps: 87, Eps: 1.000
02-Aug-19 22:34:25 - LanderQAgent - INFO - Episode: 106, Total Reward: -310.426, Avg. Reward Last 100 Episodes: -171.325, Avg. Loss: 0.408, Time: 0.896, Training Steps: 70, Eps: 1.000
02-Aug-19 22:34:26 - LanderQAgent - INFO - Target network is updated after 10000 steps
02-Aug-19 22:34:26 - LanderQAgent - INFO - Episode: 107, Total Reward: -103.712, Avg. Reward Last 100 Episodes: -172.408, Avg. Loss: 0.473, Time: 1.025, Training Steps: 85, Eps: 1.000
02-Aug-19 22:34:27 - LanderQAgent - INFO - Episode: 108, Total Reward: -398.563, Avg. Reward Last 100 Episodes: -172.628, Avg. Loss: 0.428, Time: 0.980, Training Steps: 82, Eps: 1.000
02-Aug-19 22:34:28 - LanderQAgent - INFO - Episode: 109, Total Reward: -37.070, Avg. Reward Last 100 Episodes: -175.555, Avg. Loss: 0.536, Time: 1.266, Training Steps: 107, Eps: 1.000
02-Aug-19 22:34:30 - LanderQAgent - INFO - Episode: 110, Total Reward: -358.505, Avg. Reward Last 100 Episodes: -174.611, Avg. Loss: 0.521, Time: 1.179, Training Steps: 100, Eps: 1.000
02-Aug-19 22:34:31 - LanderQAgent - INFO - Episode: 111, Total Reward: -300.564, Avg. Reward Last 100 Episodes: -175.922, Avg. Loss: 0.387, Time: 1.015, Training Steps: 86, Eps: 1.000
02-Aug-19 22:34:32 - LanderQAgent - INFO - Episode: 112, Total Reward: -178.490, Avg. Reward Last 100 Episodes: -177.320, Avg. Loss: 0.421, Time: 1.473, Training Steps: 122, Eps: 1.000
02-Aug-19 22:34:33 - LanderQAgent - INFO - Episode: 113, Total Reward: -66.188, Avg. Reward Last 100 Episodes: -178.007, Avg. Loss: 0.521, Time: 0.840, Training Steps: 72, Eps: 1.000
02-Aug-19 22:34:34 - LanderQAgent - INFO - Episode: 114, Total Reward: -107.339, Avg. Reward Last 100 Episodes: -176.602, Avg. Loss: 0.460, Time: 0.947, Training Steps: 82, Eps: 1.000
02-Aug-19 22:34:35 - LanderQAgent - INFO - Episode: 115, Total Reward: -336.018, Avg. Reward Last 100 Episodes: -176.389, Avg. Loss: 0.496, Time: 1.062, Training Steps: 90, Eps: 1.000
02-Aug-19 22:34:36 - LanderQAgent - INFO - Episode: 116, Total Reward: -122.996, Avg. Reward Last 100 Episodes: -178.836, Avg. Loss: 0.423, Time: 1.420, Training Steps: 121, Eps: 1.000
02-Aug-19 22:34:37 - LanderQAgent - INFO - Episode: 117, Total Reward: -97.330, Avg. Reward Last 100 Episodes: -176.487, Avg. Loss: 0.449, Time: 0.715, Training Steps: 61, Eps: 1.000
02-Aug-19 22:34:38 - LanderQAgent - INFO - Target network is updated after 11000 steps
02-Aug-19 22:34:38 - LanderQAgent - INFO - Episode: 118, Total Reward: -188.736, Avg. Reward Last 100 Episodes: -175.514, Avg. Loss: 0.471, Time: 1.310, Training Steps: 109, Eps: 1.000
02-Aug-19 22:34:39 - LanderQAgent - INFO - Episode: 119, Total Reward: -58.820, Avg. Reward Last 100 Episodes: -174.535, Avg. Loss: 0.537, Time: 0.786, Training Steps: 67, Eps: 1.000
02-Aug-19 22:34:40 - LanderQAgent - INFO - Episode: 120, Total Reward: -216.660, Avg. Reward Last 100 Episodes: -174.402, Avg. Loss: 0.521, Time: 1.173, Training Steps: 99, Eps: 1.000
02-Aug-19 22:34:42 - LanderQAgent - INFO - Episode: 121, Total Reward: 7.218, Avg. Reward Last 100 Episodes: -174.569, Avg. Loss: 0.431, Time: 1.257, Training Steps: 107, Eps: 1.000
02-Aug-19 22:34:43 - LanderQAgent - INFO - Episode: 122, Total Reward: -98.520, Avg. Reward Last 100 Episodes: -173.159, Avg. Loss: 0.468, Time: 1.198, Training Steps: 100, Eps: 1.000
02-Aug-19 22:34:44 - LanderQAgent - INFO - Episode: 123, Total Reward: -177.720, Avg. Reward Last 100 Episodes: -171.399, Avg. Loss: 0.536, Time: 0.739, Training Steps: 62, Eps: 1.000
