05-Aug-19 02:08:17 - torcs_agent_torcsAgent_actor - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (29,), 'discount_factor': 0.99, 'evaluation_samples': 1, 'snapshot_interval': 150, 'soft_target_update_rate': 0.001, 'start_training': 0, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'output_directory': 'model/torcs_agent_torcsAgent_actor/2019-08-05-02-08-13', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (29,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 32, 'memory_size': 120000, 'method': 'buffer', 'action_dim': (3,)}, 'strategy_params': {'epsilon_decay': 8e-06, 'epsilon_decay_per_step': True, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 10, 'mu': [0, 0, -1.2], 'min_epsilon': 0.0001, 'theta': [0.6, 1, 1], 'sigma': [0.3, 0.2, 0.05], 'method': 'ornstein_uhlenbeck', 'action_dim': (3,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 900000, 'agent_name': 'torcs_agent_torcsAgent_actor', 'verbose': True, 'train_interval': 1, 'training_episodes': 3500, 'action_dim': (3,)}
05-Aug-19 02:14:21 - torcs_agent_torcsAgent_actor - INFO - Episode: 46, Total Reward: 254.719, Avg. Reward Last 100 Episodes: 255.696, Avg. Actor Loss: -0.669 Avg. Critic Loss: 97.263 Avg. Q-Values: 18.236, Time: 7.332, Training Steps: 30, Eps: 0.991
05-Aug-19 02:14:30 - torcs_agent_torcsAgent_actor - INFO - Episode: 47, Total Reward: 581.245, Avg. Reward Last 100 Episodes: 255.676, Avg. Actor Loss: -0.647 Avg. Critic Loss: 164.831 Avg. Q-Values: 16.468, Time: 8.752, Training Steps: 37, Eps: 0.991
05-Aug-19 02:14:38 - torcs_agent_torcsAgent_actor - INFO - Episode: 48, Total Reward: 141.028, Avg. Reward Last 100 Episodes: 262.458, Avg. Actor Loss: -0.739 Avg. Critic Loss: 121.800 Avg. Q-Values: 18.293, Time: 8.198, Training Steps: 29, Eps: 0.991
05-Aug-19 02:14:44 - torcs_agent_torcsAgent_actor - INFO - Episode: 49, Total Reward: 226.176, Avg. Reward Last 100 Episodes: 259.980, Avg. Actor Loss: -0.816 Avg. Critic Loss: 78.157 Avg. Q-Values: 21.399, Time: 6.532, Training Steps: 26, Eps: 0.990
05-Aug-19 02:14:53 - torcs_agent_torcsAgent_actor - INFO - Episode: 50, Total Reward: 372.920, Avg. Reward Last 100 Episodes: 259.304, Avg. Actor Loss: -0.812 Avg. Critic Loss: 84.829 Avg. Q-Values: 19.840, Time: 8.552, Training Steps: 36, Eps: 0.990
05-Aug-19 02:15:00 - torcs_agent_torcsAgent_actor - INFO - Episode: 51, Total Reward: 201.646, Avg. Reward Last 100 Episodes: 261.532, Avg. Actor Loss: -0.816 Avg. Critic Loss: 121.111 Avg. Q-Values: 19.404, Time: 7.397, Training Steps: 25, Eps: 0.990
05-Aug-19 02:15:07 - torcs_agent_torcsAgent_actor - INFO - Episode: 52, Total Reward: 126.802, Avg. Reward Last 100 Episodes: 260.380, Avg. Actor Loss: -0.649 Avg. Critic Loss: 185.745 Avg. Q-Values: 15.859, Time: 6.318, Training Steps: 25, Eps: 0.990
05-Aug-19 02:15:17 - torcs_agent_torcsAgent_actor - INFO - Episode: 53, Total Reward: 865.123, Avg. Reward Last 100 Episodes: 257.860, Avg. Actor Loss: -0.748 Avg. Critic Loss: 113.142 Avg. Q-Values: 22.074, Time: 10.551, Training Steps: 46, Eps: 0.989
05-Aug-19 02:15:24 - torcs_agent_torcsAgent_actor - INFO - Episode: 54, Total Reward: 49.483, Avg. Reward Last 100 Episodes: 269.105, Avg. Actor Loss: -0.763 Avg. Critic Loss: 124.006 Avg. Q-Values: 20.718, Time: 7.382, Training Steps: 25, Eps: 0.989
05-Aug-19 02:15:32 - torcs_agent_torcsAgent_actor - INFO - Episode: 55, Total Reward: 201.181, Avg. Reward Last 100 Episodes: 265.112, Avg. Actor Loss: -0.856 Avg. Critic Loss: 115.124 Avg. Q-Values: 23.118, Time: 7.333, Training Steps: 30, Eps: 0.989
05-Aug-19 02:15:38 - torcs_agent_torcsAgent_actor - INFO - Episode: 56, Total Reward: 182.610, Avg. Reward Last 100 Episodes: 263.971, Avg. Actor Loss: -0.890 Avg. Critic Loss: 97.863 Avg. Q-Values: 22.240, Time: 6.562, Training Steps: 26, Eps: 0.989
05-Aug-19 02:15:47 - torcs_agent_torcsAgent_actor - INFO - Episode: 57, Total Reward: 374.658, Avg. Reward Last 100 Episodes: 262.543, Avg. Actor Loss: -0.827 Avg. Critic Loss: 96.402 Avg. Q-Values: 20.993, Time: 8.403, Training Steps: 30, Eps: 0.988
05-Aug-19 02:15:55 - torcs_agent_torcsAgent_actor - INFO - Episode: 58, Total Reward: 508.410, Avg. Reward Last 100 Episodes: 264.476, Avg. Actor Loss: -0.866 Avg. Critic Loss: 92.889 Avg. Q-Values: 22.708, Time: 7.950, Training Steps: 33, Eps: 0.988
05-Aug-19 02:16:01 - torcs_agent_torcsAgent_actor - INFO - Episode: 59, Total Reward: 303.997, Avg. Reward Last 100 Episodes: 268.611, Avg. Actor Loss: -0.923 Avg. Critic Loss: 93.413 Avg. Q-Values: 24.345, Time: 6.735, Training Steps: 27, Eps: 0.988
05-Aug-19 02:16:09 - torcs_agent_torcsAgent_actor - INFO - Episode: 60, Total Reward: 164.367, Avg. Reward Last 100 Episodes: 269.200, Avg. Actor Loss: -0.875 Avg. Critic Loss: 73.123 Avg. Q-Values: 23.512, Time: 7.599, Training Steps: 26, Eps: 0.988
