09-Sep-22 16:10:12 - AutopilotAgent - INFO - Agent created with following parameters: {'state_dim': (25,), 'action_dim': (3,), 'ctx': 'gpu(0)', 'discount_factor': 0.99, 'strategy_params': {'method': 'ornstein_uhlenbeck', 'epsilon': 1.0, 'min_epsilon': 0.0, 'epsilon_decay_method': 'linear', 'epsilon_decay': 0.00066666666, 'epsilon_decay_start': 500, 'epsilon_decay_per_step': False, 'action_low': -1, 'action_high': 1, 'mu': [0.0, 0.0, 0.0], 'theta': [0.15, 0.15, 0.15], 'sigma': [0.2, 0.2, 0.2], 'action_dim': (3,)}, 'replay_memory_params': {'method': 'buffer', 'memory_size': 10000000, 'sample_size': 10000, 'state_dtype': 'float32', 'action_dtype': 'float32', 'rewards_dtype': 'float32', 'state_dim': (25,), 'action_dim': (3,)}, 'training_episodes': 2000, 'start_training': 500, 'evaluation_samples': 3, 'self_play': 'no', 'train_interval': 1, 'snapshot_interval': 50, 'agent_name': 'AutopilotAgent', 'max_episode_step': 1000, 'output_directory': 'model/AutopilotAgent/2022-09-09-16-10-06', 'verbose': True, 'target_score': None, 'soft_target_update_rate': 0.0025, 'actor_optimizer': 'adam', 'actor_optimizer_params': {'learning_rate': 0.0001}, 'critic_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}}
09-Sep-22 16:10:12 - AutopilotAgent - INFO - --- Start TwinDelayedDDPG training ---
09-Sep-22 16:10:36 - AutopilotAgent - INFO - Sampling from 3 games...
09-Sep-22 16:10:37 - AutopilotAgent - INFO - Evaluation -> Average Reward in 3 games: 11126.125816345215
09-Sep-22 16:10:38 - AutopilotAgent - INFO - Episode: 51, Total Reward: 413.640, Avg. Reward Last 100 Episodes: 2542.448, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.433, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:38 - AutopilotAgent - INFO - Episode: 52, Total Reward: 16404.302, Avg. Reward Last 100 Episodes: 2501.510, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.406, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:39 - AutopilotAgent - INFO - Episode: 53, Total Reward: 7585.874, Avg. Reward Last 100 Episodes: 2763.827, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.424, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:39 - AutopilotAgent - INFO - Episode: 54, Total Reward: 1523.313, Avg. Reward Last 100 Episodes: 2853.124, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.408, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:40 - AutopilotAgent - INFO - Episode: 55, Total Reward: 13437.338, Avg. Reward Last 100 Episodes: 2828.945, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.557, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:40 - AutopilotAgent - INFO - Episode: 56, Total Reward: -19447.582, Avg. Reward Last 100 Episodes: 3018.381, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.538, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:41 - AutopilotAgent - INFO - Episode: 57, Total Reward: -2995.677, Avg. Reward Last 100 Episodes: 2624.241, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.412, Training Steps: 0, Eps: 1.000
09-Sep-22 16:10:41 - AutopilotAgent - INFO - Episode: 58, Total Reward: 1792.379, Avg. Reward Last 100 Episodes: 2527.346, Avg. Actor Loss: 0.000 Avg. Critic Loss: 0.000 Avg. Q-Values: 0.000, Time: 0.474, Training Steps: 0, Eps: 1.000
