30-Dec-22 19:55:06 - TurtlebotAgent - INFO - --- Start training ---
30-Dec-22 19:55:07 - TurtlebotAgent - INFO - Target network is updated after 0 steps
30-Dec-22 20:14:00 - TurtlebotAgent - INFO - Episode: 63, Total Reward: -94.985, Avg. Reward Last 100 Episodes: -31.374, Avg. Loss: 0.000, Time: 6.734, Training Steps: 0, Eps: 0.984
30-Dec-22 20:14:13 - TurtlebotAgent - INFO - Episode: 64, Total Reward: 4.833, Avg. Reward Last 100 Episodes: -32.368, Avg. Loss: 54.608, Time: 13.709, Training Steps: 34, Eps: 0.984
30-Dec-22 20:14:33 - TurtlebotAgent - INFO - Target network is updated after 4000 steps
30-Dec-22 20:14:50 - TurtlebotAgent - INFO - Episode: 65, Total Reward: 31.777, Avg. Reward Last 100 Episodes: -31.796, Avg. Loss: 44.567, Time: 36.807, Training Steps: 90, Eps: 0.983
30-Dec-22 20:15:00 - TurtlebotAgent - INFO - Episode: 66, Total Reward: -149.732, Avg. Reward Last 100 Episodes: -30.832, Avg. Loss: 29.804, Time: 9.735, Training Steps: 22, Eps: 0.983
30-Dec-22 20:15:07 - TurtlebotAgent - INFO - Episode: 67, Total Reward: -130.649, Avg. Reward Last 100 Episodes: -32.607, Avg. Loss: 44.905, Time: 7.013, Training Steps: 15, Eps: 0.983
30-Dec-22 20:15:32 - TurtlebotAgent - INFO - Episode: 68, Total Reward: 142.963, Avg. Reward Last 100 Episodes: -34.049, Avg. Loss: 31.076, Time: 25.056, Training Steps: 63, Eps: 0.983
30-Dec-22 20:15:54 - TurtlebotAgent - INFO - Episode: 69, Total Reward: -194.243, Avg. Reward Last 100 Episodes: -31.484, Avg. Loss: 39.595, Time: 22.407, Training Steps: 55, Eps: 0.983
30-Dec-22 20:16:10 - TurtlebotAgent - INFO - Episode: 70, Total Reward: 37.894, Avg. Reward Last 100 Episodes: -33.809, Avg. Loss: 32.564, Time: 15.542, Training Steps: 36, Eps: 0.983
30-Dec-22 20:16:20 - TurtlebotAgent - INFO - Episode: 71, Total Reward: -88.321, Avg. Reward Last 100 Episodes: -32.799, Avg. Loss: 53.506, Time: 9.852, Training Steps: 22, Eps: 0.983
30-Dec-22 20:16:46 - TurtlebotAgent - INFO - Episode: 72, Total Reward: 8.596, Avg. Reward Last 100 Episodes: -33.570, Avg. Loss: 42.790, Time: 26.476, Training Steps: 66, Eps: 0.983
30-Dec-22 20:17:02 - TurtlebotAgent - INFO - Episode: 73, Total Reward: 45.656, Avg. Reward Last 100 Episodes: -32.992, Avg. Loss: 50.576, Time: 15.708, Training Steps: 38, Eps: 0.983
30-Dec-22 20:17:35 - TurtlebotAgent - INFO - Episode: 74, Total Reward: 85.911, Avg. Reward Last 100 Episodes: -31.929, Avg. Loss: 36.823, Time: 33.131, Training Steps: 82, Eps: 0.983
30-Dec-22 20:17:59 - TurtlebotAgent - INFO - Episode: 75, Total Reward: -212.317, Avg. Reward Last 100 Episodes: -30.358, Avg. Loss: 31.718, Time: 24.082, Training Steps: 58, Eps: 0.982
30-Dec-22 20:18:21 - TurtlebotAgent - INFO - Episode: 76, Total Reward: -197.484, Avg. Reward Last 100 Episodes: -32.752, Avg. Loss: 38.076, Time: 22.183, Training Steps: 53, Eps: 0.982
30-Dec-22 20:18:36 - TurtlebotAgent - INFO - Episode: 77, Total Reward: -172.942, Avg. Reward Last 100 Episodes: -34.892, Avg. Loss: 34.324, Time: 14.641, Training Steps: 35, Eps: 0.982
30-Dec-22 20:19:00 - TurtlebotAgent - INFO - Episode: 78, Total Reward: 35.575, Avg. Reward Last 100 Episodes: -36.662, Avg. Loss: 43.318, Time: 24.513, Training Steps: 57, Eps: 0.982
30-Dec-22 20:19:21 - TurtlebotAgent - INFO - Episode: 79, Total Reward: 48.231, Avg. Reward Last 100 Episodes: -35.747, Avg. Loss: 38.414, Time: 20.297, Training Steps: 51, Eps: 0.982
30-Dec-22 20:19:39 - TurtlebotAgent - INFO - Episode: 80, Total Reward: -181.813, Avg. Reward Last 100 Episodes: -34.698, Avg. Loss: 35.606, Time: 18.527, Training Steps: 44, Eps: 0.982
30-Dec-22 20:20:38 - TurtlebotAgent - INFO - Episode: 81, Total Reward: -158.940, Avg. Reward Last 100 Episodes: -36.514, Avg. Loss: 36.654, Time: 58.418, Training Steps: 142, Eps: 0.982
30-Dec-22 20:20:43 - TurtlebotAgent - INFO - Episode: 82, Total Reward: -208.419, Avg. Reward Last 100 Episodes: -38.007, Avg. Loss: 34.973, Time: 5.736, Training Steps: 15, Eps: 0.982
30-Dec-22 20:20:53 - TurtlebotAgent - INFO - Episode: 83, Total Reward: -152.778, Avg. Reward Last 100 Episodes: -40.060, Avg. Loss: 30.311, Time: 9.934, Training Steps: 22, Eps: 0.982
30-Dec-22 20:21:11 - TurtlebotAgent - INFO - Episode: 84, Total Reward: 19.250, Avg. Reward Last 100 Episodes: -41.402, Avg. Loss: 36.236, Time: 17.541, Training Steps: 42, Eps: 0.982
30-Dec-22 20:21:20 - TurtlebotAgent - INFO - Episode: 85, Total Reward: -102.447, Avg. Reward Last 100 Episodes: -40.688, Avg. Loss: 29.892, Time: 8.951, Training Steps: 21, Eps: 0.981
30-Dec-22 20:21:34 - TurtlebotAgent - INFO - Episode: 86, Total Reward: -163.711, Avg. Reward Last 100 Episodes: -41.406, Avg. Loss: 31.957, Time: 14.209, Training Steps: 34, Eps: 0.981
30-Dec-22 20:21:45 - TurtlebotAgent - INFO - Episode: 87, Total Reward: -117.290, Avg. Reward Last 100 Episodes: -42.812, Avg. Loss: 37.979, Time: 11.217, Training Steps: 26, Eps: 0.981
