04-Aug-19 02:55:36 - TorcsAgent - INFO - Agent created with following parameters: {'critic_optimizer': 'adam', 'state_dim': (29,), 'discount_factor': 0.99, 'evaluation_samples': 1, 'snapshot_interval': 150, 'soft_target_update_rate': 0.005, 'start_training': 0, 'ctx': 'gpu(0)', 'actor_optimizer_params': {'learning_rate': 0.001}, 'output_directory': 'model/TorcsAgent/2019-08-04-02-55-32', 'target_score': None, 'replay_memory_params': {'state_dtype': 'float32', 'state_dim': (29,), 'rewards_dtype': 'float32', 'action_dtype': 'float32', 'sample_size': 100, 'memory_size': 120000, 'method': 'buffer', 'action_dim': (3,)}, 'strategy_params': {'epsilon_decay': 8e-06, 'epsilon_decay_per_step': True, 'epsilon': 1, 'action_low': -1, 'epsilon_decay_method': 'linear', 'action_high': 1, 'epsilon_decay_start': 10, 'mu': [0, 0, -1.2], 'min_epsilon': 0.0001, 'theta': [0.6, 1, 1], 'sigma': [0.3, 0.2, 0.05], 'method': 'ornstein_uhlenbeck', 'action_dim': (3,)}, 'actor_optimizer': 'adam', 'critic_optimizer_params': {'learning_rate': 0.001}, 'max_episode_step': 900000, 'agent_name': 'TorcsAgent', 'verbose': True, 'train_interval': 1, 'training_episodes': 3500, 'action_dim': (3,)}
04-Aug-19 02:55:36 - TorcsAgent - INFO - --- Start TwinDelayedDDPG training ---
04-Aug-19 03:00:53 - TorcsAgent - INFO - Episode: 38, Total Reward: 39.589, Avg. Reward Last 100 Episodes: 334.506, Avg. Actor Loss: -50.606 Avg. Critic Loss: 1.195 Avg. Q-Values: 23.632, Time: 5.924, Training Steps: 23, Eps: 0.992
04-Aug-19 03:01:01 - TorcsAgent - INFO - Episode: 39, Total Reward: 99.165, Avg. Reward Last 100 Episodes: 326.944, Avg. Actor Loss: -50.223 Avg. Critic Loss: 1.249 Avg. Q-Values: 23.887, Time: 8.001, Training Steps: 28, Eps: 0.992
04-Aug-19 03:01:07 - TorcsAgent - INFO - Episode: 40, Total Reward: 66.468, Avg. Reward Last 100 Episodes: 321.250, Avg. Actor Loss: -54.814 Avg. Critic Loss: 1.086 Avg. Q-Values: 27.004, Time: 6.308, Training Steps: 25, Eps: 0.992
04-Aug-19 03:01:15 - TorcsAgent - INFO - Episode: 41, Total Reward: 356.951, Avg. Reward Last 100 Episodes: 315.035, Avg. Actor Loss: -53.605 Avg. Critic Loss: 0.924 Avg. Q-Values: 27.567, Time: 7.542, Training Steps: 31, Eps: 0.992
04-Aug-19 03:01:24 - TorcsAgent - INFO - Episode: 42, Total Reward: 315.844, Avg. Reward Last 100 Episodes: 316.033, Avg. Actor Loss: -54.079 Avg. Critic Loss: 0.814 Avg. Q-Values: 28.723, Time: 9.617, Training Steps: 36, Eps: 0.991
04-Aug-19 03:01:31 - TorcsAgent - INFO - Episode: 43, Total Reward: 137.304, Avg. Reward Last 100 Episodes: 316.029, Avg. Actor Loss: -56.831 Avg. Critic Loss: 0.950 Avg. Q-Values: 29.093, Time: 6.308, Training Steps: 25, Eps: 0.991
04-Aug-19 03:01:37 - TorcsAgent - INFO - Episode: 44, Total Reward: 266.860, Avg. Reward Last 100 Episodes: 311.967, Avg. Actor Loss: -60.216 Avg. Critic Loss: 0.927 Avg. Q-Values: 29.892, Time: 6.518, Training Steps: 26, Eps: 0.991
04-Aug-19 03:01:47 - TorcsAgent - INFO - Episode: 45, Total Reward: 613.609, Avg. Reward Last 100 Episodes: 310.965, Avg. Actor Loss: -61.290 Avg. Critic Loss: 0.854 Avg. Q-Values: 31.240, Time: 9.600, Training Steps: 36, Eps: 0.991
04-Aug-19 03:01:54 - TorcsAgent - INFO - Episode: 46, Total Reward: 321.830, Avg. Reward Last 100 Episodes: 317.544, Avg. Actor Loss: -65.219 Avg. Critic Loss: 0.868 Avg. Q-Values: 32.288, Time: 6.934, Training Steps: 28, Eps: 0.990
04-Aug-19 03:02:01 - TorcsAgent - INFO - Episode: 47, Total Reward: 397.002, Avg. Reward Last 100 Episodes: 317.635, Avg. Actor Loss: -64.388 Avg. Critic Loss: 0.952 Avg. Q-Values: 32.238, Time: 7.541, Training Steps: 31, Eps: 0.990
