15-Jul-19 16:09:41 - PoleAgent - INFO - --- Start training ---
15-Jul-19 16:09:42 - PoleAgent - INFO - Target network is updated after 0 steps
15-Jul-19 16:11:05 - PoleAgent - INFO - Episode: 67, Total Reward: 9.000, Avg. Reward Last 100 Episodes: 20.403, Avg. Loss: 0.036, Time: 1.117, Training Steps: 9, Eps: 0.710
15-Jul-19 16:11:07 - PoleAgent - INFO - Episode: 68, Total Reward: 33.000, Avg. Reward Last 100 Episodes: 20.235, Avg. Loss: 0.030, Time: 1.427, Training Steps: 33, Eps: 0.705
15-Jul-19 16:11:08 - PoleAgent - INFO - Episode: 69, Total Reward: 20.000, Avg. Reward Last 100 Episodes: 20.420, Avg. Loss: 0.030, Time: 1.254, Training Steps: 20, Eps: 0.700
15-Jul-19 16:11:09 - PoleAgent - INFO - Episode: 70, Total Reward: 14.000, Avg. Reward Last 100 Episodes: 20.414, Avg. Loss: 0.029, Time: 1.182, Training Steps: 14, Eps: 0.695
15-Jul-19 16:11:10 - PoleAgent - INFO - Episode: 71, Total Reward: 12.000, Avg. Reward Last 100 Episodes: 20.324, Avg. Loss: 0.033, Time: 1.165, Training Steps: 12, Eps: 0.690
15-Jul-19 16:11:12 - PoleAgent - INFO - Episode: 72, Total Reward: 13.000, Avg. Reward Last 100 Episodes: 20.208, Avg. Loss: 0.024, Time: 1.167, Training Steps: 13, Eps: 0.685
15-Jul-19 16:11:13 - PoleAgent - INFO - Episode: 73, Total Reward: 15.000, Avg. Reward Last 100 Episodes: 20.110, Avg. Loss: 0.029, Time: 1.191, Training Steps: 15, Eps: 0.680
15-Jul-19 16:11:14 - PoleAgent - INFO - Target network is updated after 1500 steps
15-Jul-19 16:11:14 - PoleAgent - INFO - Episode: 74, Total Reward: 34.000, Avg. Reward Last 100 Episodes: 20.041, Avg. Loss: 0.054, Time: 1.464, Training Steps: 34, Eps: 0.675
15-Jul-19 16:11:16 - PoleAgent - INFO - Episode: 75, Total Reward: 34.000, Avg. Reward Last 100 Episodes: 20.227, Avg. Loss: 0.046, Time: 1.442, Training Steps: 34, Eps: 0.670
15-Jul-19 16:11:17 - PoleAgent - INFO - Episode: 76, Total Reward: 19.000, Avg. Reward Last 100 Episodes: 20.408, Avg. Loss: 0.046, Time: 1.240, Training Steps: 19, Eps: 0.665
15-Jul-19 16:11:18 - PoleAgent - INFO - Episode: 77, Total Reward: 33.000, Avg. Reward Last 100 Episodes: 20.390, Avg. Loss: 0.040, Time: 1.410, Training Steps: 33, Eps: 0.660
15-Jul-19 16:11:20 - PoleAgent - INFO - Episode: 78, Total Reward: 46.000, Avg. Reward Last 100 Episodes: 20.551, Avg. Loss: 0.042, Time: 1.582, Training Steps: 46, Eps: 0.655
15-Jul-19 16:11:21 - PoleAgent - INFO - Episode: 79, Total Reward: 16.000, Avg. Reward Last 100 Episodes: 20.873, Avg. Loss: 0.055, Time: 1.206, Training Steps: 16, Eps: 0.650
15-Jul-19 16:11:23 - PoleAgent - INFO - Episode: 80, Total Reward: 83.000, Avg. Reward Last 100 Episodes: 20.812, Avg. Loss: 0.043, Time: 2.060, Training Steps: 83, Eps: 0.645
15-Jul-19 16:11:26 - PoleAgent - INFO - Episode: 81, Total Reward: 109.000, Avg. Reward Last 100 Episodes: 21.580, Avg. Loss: 0.042, Time: 2.381, Training Steps: 109, Eps: 0.640
15-Jul-19 16:11:27 - PoleAgent - INFO - Episode: 82, Total Reward: 21.000, Avg. Reward Last 100 Episodes: 22.646, Avg. Loss: 0.041, Time: 1.264, Training Steps: 21, Eps: 0.635
15-Jul-19 16:11:28 - PoleAgent - INFO - Episode: 83, Total Reward: 30.000, Avg. Reward Last 100 Episodes: 22.627, Avg. Loss: 0.042, Time: 1.379, Training Steps: 30, Eps: 0.630
15-Jul-19 16:11:29 - PoleAgent - INFO - Episode: 84, Total Reward: 11.000, Avg. Reward Last 100 Episodes: 22.714, Avg. Loss: 0.054, Time: 1.142, Training Steps: 11, Eps: 0.625
15-Jul-19 16:11:31 - PoleAgent - INFO - Episode: 85, Total Reward: 41.000, Avg. Reward Last 100 Episodes: 22.576, Avg. Loss: 0.041, Time: 1.530, Training Steps: 41, Eps: 0.620
15-Jul-19 16:11:32 - PoleAgent - INFO - Episode: 86, Total Reward: 37.000, Avg. Reward Last 100 Episodes: 22.791, Avg. Loss: 0.037, Time: 1.471, Training Steps: 37, Eps: 0.615
15-Jul-19 16:11:33 - PoleAgent - INFO - Target network is updated after 2000 steps
15-Jul-19 16:11:35 - PoleAgent - INFO - Episode: 87, Total Reward: 118.000, Avg. Reward Last 100 Episodes: 22.954, Avg. Loss: 0.055, Time: 2.496, Training Steps: 118, Eps: 0.610
15-Jul-19 16:11:36 - PoleAgent - INFO - Episode: 88, Total Reward: 30.000, Avg. Reward Last 100 Episodes: 24.034, Avg. Loss: 0.054, Time: 1.381, Training Steps: 30, Eps: 0.605
15-Jul-19 16:11:38 - PoleAgent - INFO - Episode: 89, Total Reward: 17.000, Avg. Reward Last 100 Episodes: 24.101, Avg. Loss: 0.049, Time: 1.215, Training Steps: 17, Eps: 0.600
15-Jul-19 16:11:39 - PoleAgent - INFO - Episode: 90, Total Reward: 30.000, Avg. Reward Last 100 Episodes: 24.022, Avg. Loss: 0.052, Time: 1.401, Training Steps: 30, Eps: 0.595
15-Jul-19 16:11:41 - PoleAgent - INFO - Episode: 91, Total Reward: 102.000, Avg. Reward Last 100 Episodes: 24.088, Avg. Loss: 0.055, Time: 2.301, Training Steps: 102, Eps: 0.590
15-Jul-19 16:11:43 - PoleAgent - INFO - Episode: 92, Total Reward: 35.000, Avg. Reward Last 100 Episodes: 24.935, Avg. Loss: 0.043, Time: 1.447, Training Steps: 35, Eps: 0.585
15-Jul-19 16:11:44 - PoleAgent - INFO - Episode: 93, Total Reward: 25.000, Avg. Reward Last 100 Episodes: 25.043, Avg. Loss: 0.055, Time: 1.318, Training Steps: 25, Eps: 0.580
15-Jul-19 16:11:45 - PoleAgent - INFO - Episode: 94, Total Reward: 10.000, Avg. Reward Last 100 Episodes: 25.043, Avg. Loss: 0.051, Time: 1.130, Training Steps: 10, Eps: 0.575
15-Jul-19 16:11:46 - PoleAgent - INFO - Episode: 95, Total Reward: 24.000, Avg. Reward Last 100 Episodes: 24.884, Avg. Loss: 0.043, Time: 1.313, Training Steps: 24, Eps: 0.570
15-Jul-19 16:11:48 - PoleAgent - INFO - Episode: 96, Total Reward: 46.000, Avg. Reward Last 100 Episodes: 24.875, Avg. Loss: 0.053, Time: 1.593, Training Steps: 46, Eps: 0.565
15-Jul-19 16:11:49 - PoleAgent - INFO - Episode: 97, Total Reward: 30.000, Avg. Reward Last 100 Episodes: 25.093, Avg. Loss: 0.051, Time: 1.383, Training Steps: 30, Eps: 0.560
15-Jul-19 16:11:51 - PoleAgent - INFO - Episode: 98, Total Reward: 24.000, Avg. Reward Last 100 Episodes: 25.143, Avg. Loss: 0.054, Time: 1.307, Training Steps: 24, Eps: 0.555
15-Jul-19 16:11:52 - PoleAgent - INFO - Target network is updated after 2500 steps
15-Jul-19 16:11:52 - PoleAgent - INFO - Episode: 99, Total Reward: 48.000, Avg. Reward Last 100 Episodes: 25.131, Avg. Loss: 0.073, Time: 1.633, Training Steps: 48, Eps: 0.550
15-Jul-19 16:11:54 - PoleAgent - INFO - Episode: 100, Total Reward: 21.000, Avg. Reward Last 100 Episodes: 25.360, Avg. Loss: 0.065, Time: 1.268, Training Steps: 21, Eps: 0.545
15-Jul-19 16:11:55 - PoleAgent - INFO - Episode: 101, Total Reward: 30.000, Avg. Reward Last 100 Episodes: 25.440, Avg. Loss: 0.074, Time: 1.385, Training Steps: 30, Eps: 0.540
15-Jul-19 16:11:57 - PoleAgent - INFO - Episode: 102, Total Reward: 41.000, Avg. Reward Last 100 Episodes: 25.530, Avg. Loss: 0.053, Time: 1.528, Training Steps: 41, Eps: 0.535
